7,TV,Original,R - 17+ (violence & profanity),Supernatural; Demons; Historical,Bones
5.85,Movie,Original,G - All Ages,Adventure; Fantasy; Kids; Magic; Martial Arts,
7.63,TV,Game,PG-13 - Teens 13 or older,Sci-Fi; Adventure; Mystery; Super Power; Supernatural; School,AIC A.S.T.A.
7.53,Movie,Visual novel,PG-13 - Teens 13 or older,Action; Fantasy; Magic; Supernatural,Studio Deen
6,OVA,Unknown,R - 17+ (violence & profanity),Action; Comedy; School; Shounen,J.C.Staff
6.26,OVA,Manga,Rx - Hentai,Hentai,
6.56,ONA,Game,PG-13 - Teens 13 or older,Action; Adventure; Fantasy; Historical; Magic,
6.09,OVA,Visual novel,Rx - Hentai,Action; Drama; Hentai; Horror; Mystery; Police; Romance; Sci-Fi,
7.13,Special,Unknown,PG-13 - Teens 13 or older,Action; Adventure; Comedy; Seinen,TMS Entertainment
0,Unknown,Manga,R - 17+ (violence & profanity),Action; Sci-Fi; Space; Mecha; Seinen,
4.89,Movie,Unknown,G - All Ages,Sports; Comedy,
5.43,OVA,Manga,G - All Ages,Mystery; Shoujo,SynergySP
6.1,Special,Unknown,PG-13 - Teens 13 or older,Comedy; Historical; Seinen,DLE
8.08,TV,Manga,PG-13 - Teens 13 or older,Action; Adventure; Comedy; Magic; Fantasy; Shounen,Satelight; A-1 Pictures
5.09,TV,Other,PG - Children,Action; Super Power; Kids,Madhouse
5.75,OVA,Unknown,PG-13 - Teens 13 or older,Romance; Seinen,
6.93,TV,Web manga,PG-13 - Teens 13 or older,Comedy; Josei; Slice of Life,AIC Plus+
7.5,OVA,Visual novel,Rx - Hentai,Hentai,Seven
6.85,OVA,Visual novel,Rx - Hentai,Hentai,Office Takeout
6.12,OVA,Visual novel,Rx - Hentai,Hentai,
7.5,OVA,Original,Rx - Hentai,Hentai,
7.18,Special,Manga,PG-13 - Teens 13 or older,Comedy; Parody; School,Gonzo
5.66,TV,Light novel,R+ - Mild Nudity,Comedy; Ecchi; Fantasy,Project No.9; Tri-Slash
6.77,OVA,Manga,Rx - Hentai,Hentai,
5.62,TV,Original,PG - Children,Comedy,ILCA
5.97,OVA,Manga,Rx - Hentai,Hentai,
5.67,TV,Original,G - All Ages,Action; Sci-Fi; Kids; Mecha,
6.87,TV,Original,R+ - Mild Nudity,Sci-Fi; Comedy; Drama; Magic; Romance; Ecchi,Gainax; Shaft
5.72,TV,Game,PG-13 - Teens 13 or older,Slice of Life,C2C; Lay-duce
7.12,Music,Game,G - All Ages,Music,
6.72,OVA,Original,Rx - Hentai,Action; Comedy; Hentai; Sci-Fi,Arms
7.05,Movie,Unknown,None,Drama,
7.7,TV,Manga,R - 17+ (violence & profanity),Adventure; Mystery,Madhouse
5.94,OVA,Unknown,Rx - Hentai,Fantasy; Hentai; Demons; Horror; Sci-Fi,
7.04,OVA,Manga,Rx - Hentai,Hentai,BreakBottle
5.58,OVA,Visual novel,PG-13 - Teens 13 or older,Sci-Fi; Supernatural; Drama; Romance; Fantasy; Shounen Ai,Venet
6.9,OVA,Manga,PG-13 - Teens 13 or older,Action; School; Shounen,Silver Link.
3.6,Special,Novel,PG-13 - Teens 13 or older,Sci-Fi; Slice of Life,
6.71,TV,Manga,PG - Children,Comedy; Magic; School; Shoujo,Satelight
5.97,OVA,Manga,R - 17+ (violence & profanity),Action; Horror; Demons; Supernatural,Toei Animation
7.96,TV,4-koma manga,PG-13 - Teens 13 or older,Slice of Life; Comedy; Romance,A-1 Pictures
7.37,TV,Manga,PG-13 - Teens 13 or older,Slice of Life; Romance; Historical; Drama; Shoujo,Nippon Animation
4.67,OVA,Unknown,Rx - Hentai,Hentai,
5.48,TV,Unknown,G - All Ages,Action; Adventure; Kids; Sci-Fi,
6.45,OVA,Visual novel,Rx - Hentai,Hentai,
5.92,OVA,Unknown,G - All Ages,Kids; Fantasy,
6.64,Movie,Unknown,G - All Ages,Comedy; Shounen,Ajia-Do
6.84,Special,Manga,PG-13 - Teens 13 or older,Action; Adventure; Comedy; Shounen; Super Power,Studio Pierrot
5.71,TV,Unknown,PG-13 - Teens 13 or older,Comedy,Studio Deen; Studio Hibari
6.91,Special,Manga,PG - Children,Fantasy; Comedy; Super Power; Shounen,Toei Animation
4.58,TV,Unknown,PG-13 - Teens 13 or older,Game,SynergySP
0,ONA,Game,G - All Ages,Action; Fantasy,
5.91,ONA,Original,G - All Ages,Comedy; Parody; School,Xebec; Kanaban Graphics
7.55,Special,Unknown,PG-13 - Teens 13 or older,Shounen,Sunrise
7.05,TV,Original,PG-13 - Teens 13 or older,Slice of Life; Comedy; Parody; Magic; School,Diomedea
5.24,Movie,Unknown,G - All Ages,Music,
4.14,Movie,Unknown,None,Action; Adventure; Shounen,
6.57,Special,Original,PG - Children,Comedy,Studio Ghibli
7.55,TV,Web manga,PG-13 - Teens 13 or older,Slice of Life; Comedy,A-1 Pictures
5.04,ONA,Original,G - All Ages,Dementia,
6.22,ONA,Game,G - All Ages,Music; School,
4.24,Special,Unknown,G - All Ages,Historical; Horror,Sunrise
6.39,TV,Unknown,G - All Ages,Adventure; Comedy,Nippon Animation
7.61,TV,Light novel,PG-13 - Teens 13 or older,Action; Adventure; Comedy; Drama; Sci-Fi; Super Power,J.C.Staff
6.06,OVA,Original,G - All Ages,Comedy; Magic; Shoujo,Studio Pierrot
5.29,Movie,Original,G - All Ages,Music; Historical,
7.7,OVA,Unknown,PG-13 - Teens 13 or older,Sports; Comedy; School; Shounen,Production I.G
6.51,TV,Other,PG-13 - Teens 13 or older,Comedy; Sci-Fi,Creators in Pack
6.36,Special,Manga,PG-13 - Teens 13 or older,Sci-Fi; Comedy; Shounen,Toei Animation
6.79,OVA,Unknown,PG-13 - Teens 13 or older,Slice of Life; Martial Arts; Comedy,
5,Music,Manga,PG-13 - Teens 13 or older,Psychological; Supernatural; Music; Horror; Mystery; Shoujo,Toei Animation
6.73,OVA,Unknown,G - All Ages,Adventure; Kids; Shounen,Madhouse
6.01,Special,Unknown,PG-13 - Teens 13 or older,Sci-Fi; Adventure,Production I.G
6.15,Movie,Unknown,PG - Children,Kids; Adventure; Comedy; Super Power,
5.21,Movie,Unknown,PG - Children,Fantasy; Comedy,
5.57,OVA,Unknown,G - All Ages,Kids,Toei Animation
6,Music,Unknown,G - All Ages,Adventure; Fantasy; Magic; Mecha; Romance; Super Power; Supernatural; Music; Sci-Fi,Sunrise; Telecom Animation Film
6.07,TV,Manga,G - All Ages,Action; Sports; School,Toei Animation
5.7,TV,Original,G - All Ages,Comedy; Parody,Oddjob
6.97,TV,Manga,R+ - Mild Nudity,Harem; Comedy; Romance; Ecchi; School; Seinen,feel.
3.67,Music,Original,G - All Ages,Music; Dementia,
5.48,TV,Unknown,PG - Children,Action; Adventure; Sci-Fi; Kids,
7.53,OVA,Visual novel,Rx - Hentai,Harem; Hentai,Studio Eromatick
6.03,Special,Manga,PG-13 - Teens 13 or older,Comedy; Sci-Fi; Shounen,Toei Animation
4.25,Music,Music,G - All Ages,Music,
5.46,OVA,Unknown,Rx - Hentai,Hentai; School,
5.36,ONA,Original,G - All Ages,Comedy,Shin-Ei Animation; DLE
6.3,OVA,Visual novel,Rx - Hentai,Hentai,AT-2
8.01,TV,Manga,PG-13 - Teens 13 or older,Action; Comedy; Sports; School; Shounen,Trans Arts
6.66,Music,Original,G - All Ages,Music; Slice of Life; Kids,
5.38,ONA,Game,G - All Ages,Action; Adventure,
7.22,OVA,Manga,R+ - Mild Nudity,Drama; Mecha; Sci-Fi; Shounen,Madhouse
4.8,Music,Original,PG-13 - Teens 13 or older,Action; Music,
